Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
17,110000631,14,0,448,0,32,32,32.0,0.0,0,0,0.0,0.0,4.072704,0.127272,8461587.0,6511793.0,24000000,1000638.0,110000000,8461587.0,6511793.0,24000000,1000638,0,0.0,0.0,0,0.0,0,0,0,0,112,0,0.127272,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,34.285713,32.0,0.0,0,0,0,0,0,0,14,448,0,0,-1,-1,13,8,2250887.5,964468.1,3012048,1000638,11200000.0,5949640.5,24000000,5010801,Benign
6,2449,3,4,299,935,299,0,99.666664,172.62773,935,0,233.75,467.5,503879.12,2858.3096,408.16666,647.2435,1672,3.0,753,376.5,127.98633,467,286,2446,815.3333,827.2632,1672,21.0,0,0,0,0,72,92,1224.9897,1633.3197,0,935,154.25,332.36844,110468.79,0,0,1,1,0,0,0,1,1,176.28572,99.666664,233.75,0,0,0,0,0,0,3,299,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,13844,3,4,289,935,289,0,96.333336,166.85423,935,0,233.75,467.5,88413.75,505.63422,2307.3333,5154.4717,12814,3.0,13112,6556.0,8850.148,12814,298,13838,4612.6665,7366.054,13109,21.0,0,0,0,0,72,92,216.70038,288.93384,0,935,153.0,331.76456,110067.71,0,0,1,1,0,0,0,1,1,174.85715,96.333336,233.75,0,0,0,0,0,0,3,289,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,30075,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,66.50041,30075.0,0.0,30075,30075.0,30075,30075.0,0.0,30075,30075,0,0.0,0.0,0,0.0,0,0,0,0,40,0,66.50041,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,25323,3,4,247,935,247,0,82.333336,142.60551,935,0,233.75,467.5,46676.934,276.42856,4220.5,6717.0635,15650,2.0,15948,7974.0,10855.503,15650,298,25321,8440.333,8003.5376,15949,20.0,0,0,0,0,72,92,118.469376,157.95917,0,935,147.75,329.63043,108656.21,0,0,1,1,0,0,0,1,1,168.85715,82.333336,233.75,0,0,0,0,0,0,3,247,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,15243,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,131.20776,15243.0,0.0,15243,15243.0,15243,15243.0,0.0,15243,15243,0,0.0,0.0,0,0.0,0,0,0,0,40,0,131.20776,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
17,110944006,10,0,320,0,32,32,32.0,0.0,0,0,0.0,0.0,2.884338,0.09013556,12300000.0,10500000.0,31000000,2003891.0,111000000,12300000.0,10500000.0,31000000,2003891,0,0.0,0.0,0,0.0,0,0,0,0,80,0,0.09013556,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,35.2,32.0,0.0,0,0,0,0,0,0,10,320,0,0,-1,-1,9,8,0.0,0.0,0,0,14800000.0,10600000.0,31000000,6964050,Benign
17,118980050,15,0,480,0,32,32,32.0,0.0,0,0,0.0,0.0,4.03429,0.12607156,8498575.0,4150107.2,17000000,4007872.0,119000000,8498575.0,4150107.2,17000000,4007872,0,0.0,0.0,0,0.0,0,0,0,0,120,0,0.12607156,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,34.133335,32.0,0.0,0,0,0,0,0,0,15,480,0,0,-1,-1,14,8,4748561.0,493803.97,4999913,4007872,9998580.0,4005856.5,17000000,6007387,Benign
17,119720979,124771,0,3992672,0,32,32,32.0,0.0,0,0,0.0,0.0,33349.812,1042.1816,959.5334,19097.1,678613,0.0,120000000,959.5334,19097.1,678613,0,0,0.0,0.0,0,0.0,0,0,0,0,998168,0,1042.1816,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32.000256,32.0,0.0,0,0,0,0,0,0,124771,3992672,0,0,-1,-1,124770,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP
17,119917669,116613,0,3731616,0,32,32,32.0,0.0,0,0,0.0,0.0,31118.15,972.4422,1028.3475,19856.537,635576,0.0,120000000,1028.3475,19856.537,635576,0,0,0.0,0.0,0,0.0,0,0,0,0,932904,0,972.4422,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32.000275,32.0,0.0,0,0,0,0,0,0,116613,3731616,0,0,-1,-1,116612,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP
6,23512,3,4,247,935,247,0,82.333336,142.60551,935,0,233.75,467.5,50272.203,297.7203,3918.6667,5918.561,11771,4.0,11704,5852.0,7761.204,11340,364,23508,7836.0,6761.9976,11771,28.0,0,0,0,0,72,92,127.59442,170.1259,0,935,147.75,329.63043,108656.21,0,0,1,1,0,0,0,1,1,168.85715,82.333336,233.75,0,0,0,0,0,0,3,247,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
17,119978442,122268,0,3912576,0,32,32,32.0,0.0,0,0,0.0,0.0,32610.658,1019.08307,981.2823,18860.953,613344,0.0,120000000,981.2823,18860.953,613344,0,0,0.0,0.0,0,0.0,0,0,0,0,978144,0,1019.08307,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32.000263,32.0,0.0,0,0,0,0,0,0,122268,3912576,0,0,-1,-1,122267,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP
6,30638,3,4,310,935,310,0,103.333336,178.97858,935,0,233.75,467.5,40635.812,228.47444,5106.3335,7787.899,15538,3.0,15845,7922.5,10769.943,15538,307,30635,10211.667,8843.428,15845,19.0,0,0,0,0,72,92,97.91762,130.55682,0,935,155.625,333.07483,110938.836,0,0,1,1,0,0,0,1,1,177.85715,103.333336,233.75,0,0,0,0,0,0,3,310,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
17,89479548,6,0,3000,0,500,500,500.0,0.0,0,0,0.0,0.0,33.527214,0.06705443,17900000.0,15300000.0,42000000,4000297.0,89500000,17900000.0,15300000.0,42000000,4000297,0,0.0,0.0,0,0.0,0,0,0,0,48,0,0.06705443,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,583.3333,500.0,0.0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000297.0,0.0,4000297,4000297,21400000.0,15300000.0,42000000,7200310,Benign
17,119800164,138076,0,4418432,0,32,32,32.0,0.0,0,0,0.0,0.0,36881.688,1152.5527,867.64557,18033.158,579752,0.0,120000000,867.64557,18033.158,579752,0,0,0.0,0.0,0,0.0,0,0,0,0,1104608,0,1152.5527,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32.000233,32.0,0.0,0,0,0,0,0,0,138076,4418432,0,0,-1,-1,138075,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP
6,21783,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,91.81472,21783.0,0.0,21783,21783.0,21783,21783.0,0.0,21783,21783,0,0.0,0.0,0,0.0,0,0,0,0,40,0,91.81472,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,17834,3,4,73,935,73,0,24.333334,42.14657,935,0,233.75,467.5,56521.25,392.5087,2972.3333,6529.304,16268,3.0,16631,8315.5,11246.533,16268,363,17824,5941.3335,9269.687,16624,19.0,0,0,0,0,72,92,168.21802,224.29068,0,935,126.0,327.88196,107506.57,0,0,1,1,0,0,0,1,1,144.0,24.333334,233.75,0,0,0,0,0,0,3,73,4,935,65535,211,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,10906,3,4,249,935,249,0,83.0,143.76022,935,0,233.75,467.5,108564.09,641.8485,1817.6666,4096.8115,10174,7.0,10521,5260.5,6948.7383,10174,347,10899,3633.0,5970.608,10525,34.0,0,0,0,0,72,92,275.07794,366.7706,0,935,148.0,329.7172,108713.43,0,0,1,1,0,0,0,1,1,169.14285,83.0,233.75,0,0,0,0,0,0,3,249,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,11313,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,176.78777,11313.0,0.0,11313,11313.0,11313,11313.0,0.0,11313,11313,0,0.0,0.0,0,0.0,0,0,0,0,40,0,176.78777,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,14776,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,135.35463,14776.0,0.0,14776,14776.0,14776,14776.0,0.0,14776,14776,0,0.0,0.0,0,0.0,0,0,0,0,40,0,135.35463,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,16362,3,4,73,935,73,0,24.333334,42.14657,935,0,233.75,467.5,61606.16,427.82056,2727.0,6155.3516,15277,3.0,15564,7782.0,10599.53,15277,287,16359,5453.0,8764.303,15564,25.0,0,0,0,0,72,92,183.35167,244.46889,0,935,126.0,327.88196,107506.57,0,0,1,1,0,0,0,1,1,144.0,24.333334,233.75,0,0,0,0,0,0,3,73,4,935,65535,211,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,2121,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,942.9514,2121.0,0.0,2121,2121.0,2121,2121.0,0.0,2121,2121,0,0.0,0.0,0,0.0,0,0,0,0,40,0,942.9514,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,29947,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,66.78465,29947.0,0.0,29947,29947.0,29947,29947.0,0.0,29947,29947,0,0.0,0.0,0,0.0,0,0,0,0,40,0,66.78465,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,19725,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,101.39417,19725.0,0.0,19725,19725.0,19725,19725.0,0.0,19725,19725,0,0.0,0.0,0,0.0,0,0,0,0,40,0,101.39417,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
17,114008061,11,0,352,0,32,32,32.0,0.0,0,0,0.0,0.0,3.087501,0.09648441,11400000.0,7465797.5,27000000,1998993.0,114000000,11400000.0,7465797.5,27000000,1998993,0,0.0,0.0,0,0.0,0,0,0,0,88,0,0.09648441,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,34.909092,32.0,0.0,0,0,0,0,0,0,11,352,0,0,-1,-1,10,8,3491539.0,2110778.8,4984085,1998993,13400000.0,6977479.5,27000000,5015040,Benign
17,18665402,69658,0,2229056,0,32,32,32.0,0.0,0,0,0.0,0.0,119421.805,3731.9314,267.9616,10643.168,579099,1.0,18700000,267.9616,10643.168,579099,1,0,0.0,0.0,0,0.0,0,0,0,0,557264,0,3731.9314,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32.000458,32.0,0.0,0,0,0,0,0,0,69658,2229056,0,0,-1,-1,69657,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP
6,5988,3,4,325,935,325,0,108.333336,187.63884,935,0,233.75,467.5,210420.84,1169.0046,998.0,1815.5416,4611,3.0,1350,675.0,534.57275,1053,297,5985,1995.0,2362.2349,4611,18.0,0,0,0,0,72,92,501.002,668.0027,0,935,157.5,334.1086,111628.57,0,0,1,1,0,0,0,1,1,180.0,108.333336,233.75,0,0,0,0,0,0,3,325,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
17,119999899,77351,0,2475232,0,32,32,32.0,0.0,0,0,0.0,0.0,20626.951,644.5922,1551.3884,30811.545,839673,0.0,120000000,1551.3884,30811.545,839673,0,0,0.0,0.0,0,0.0,0,0,0,0,618808,0,644.5922,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32.000412,32.0,0.0,0,0,0,0,0,0,77351,2475232,0,0,-1,-1,77350,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP
6,9646,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,207.33983,9646.0,0.0,9646,9646.0,9646,9646.0,0.0,9646,9646,0,0.0,0.0,0,0.0,0,0,0,0,40,0,207.33983,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,15024974,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3004994.8,3164571.733,8009023,1002202.0,0,3004994.8,3164571.733,8009023,1002202,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,Nmap-Scan
17,113970638,13,0,416,0,32,32,32.0,0.0,0,0,0.0,0.0,3.650063,0.11406446,9497553.0,5720654.5,21000000,959849.0,114000000,9497553.0,5720654.5,21000000,959849,0,0.0,0.0,0,0.0,0,0,0,0,104,0,0.11406446,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,34.46154,32.0,0.0,0,0,0,0,0,0,13,416,0,0,-1,-1,12,8,2971953.5,2845545.5,4984058,959849,10800000.0,5267166.5,21000000,5964004,Benign
17,119646746,64845,0,2075040,0,32,32,32.0,0.0,0,0,0.0,0.0,17343.055,541.97046,1845.1476,36837.344,911990,1.0,120000000,1845.1476,36837.344,911990,1,0,0.0,0.0,0,0.0,0,0,0,0,518760,0,541.97046,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32.000492,32.0,0.0,0,0,0,0,0,0,64845,2075040,0,0,-1,-1,64844,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP
17,119695995,118925,0,3805600,0,32,32,32.0,0.0,0,0,0.0,0.0,31793.879,993.5587,1006.4915,19471.54,590168,0.0,120000000,1006.4915,19471.54,590168,0,0,0.0,0.0,0,0.0,0,0,0,0,951400,0,993.5587,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32.00027,32.0,0.0,0,0,0,0,0,0,118925,3805600,0,0,-1,-1,118924,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP
6,16218,3,4,299,935,299,0,99.666664,172.62773,935,0,233.75,467.5,76088.3,431.6192,2703.0,6138.755,15221,2.0,15473,7736.5,10584.682,15221,252,16216,5405.3335,8727.548,15475,22.0,0,0,0,0,72,92,184.97964,246.63954,0,935,154.25,332.36844,110468.79,0,0,1,1,0,0,0,1,1,176.28572,99.666664,233.75,0,0,0,0,0,0,3,299,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,29444,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,67.92555,29444.0,0.0,29444,29444.0,29444,29444.0,0.0,29444,29444,0,0.0,0.0,0,0.0,0,0,0,0,40,0,67.92555,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,25842,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,77.39339,25842.0,0.0,25842,25842.0,25842,25842.0,0.0,25842,25842,0,0.0,0.0,0,0.0,0,0,0,0,40,0,77.39339,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,15028464,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3005692.8,3166737.011,8014559,1008518.0,0,3005692.8,3166737.011,8014559,1008518,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,Nmap-Scan
6,29984,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,66.70224,29984.0,0.0,29984,29984.0,29984,29984.0,0.0,29984,29984,0,0.0,0.0,0,0.0,0,0,0,0,40,0,66.70224,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
17,119740449,125649,0,4020768,0,32,32,32.0,0.0,0,0,0.0,0.0,33579.027,1049.3446,952.98334,19158.783,691573,0.0,120000000,952.98334,19158.783,691573,0,0,0.0,0.0,0,0.0,0,0,0,0,1005192,0,1049.3446,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32.000256,32.0,0.0,0,0,0,0,0,0,125649,4020768,0,0,-1,-1,125648,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP
6,22474,3,4,333,935,333,0,111.0,192.25764,935,0,233.75,467.5,56420.754,311.47104,3745.6667,5672.9165,11374,3.0,11063,5531.5,7384.316,10753,310,22471,7490.3335,6464.369,11374,28.0,0,0,0,0,72,92,133.48758,177.98344,0,935,158.5,334.69302,112019.43,0,0,1,1,0,0,0,1,1,181.14285,111.0,233.75,0,0,0,0,0,0,3,333,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,15031492,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3006298.4,3163992.452,8005210,1001349.0,0,3006298.4,3163992.452,8005210,1001349,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,Nmap-Scan
